Office Name,Pincode,"Delivery/
Non Delivery","Office
Type",Circle,Region,Division,Division ID,Region ID
Rangampeth S.O,585220,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Saidapur S.O (Yadgir),585221,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Sedam S.O,585222,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Shahapur S.O (Yadgir),585223,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Shorapur S.O,585224,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Wadi S.O (Kalaburagi),585225,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Shahabad S.O (Kalaburagi),585228,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Shahabad ACC S.O,585229,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Nimbal S.O,585236,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Kodekal S.O,585237,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Gobbur S.O,585265,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Bheemarayanagudi S.O,585287,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Kumbarpeth S.O,585290,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Rajankollur S.O,585291,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Malkhed Road S.O,585292,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Afjalpur S.O,585301,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Alund S.O,585302,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Andola S.O,585303,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Bijaspur S.O,585304,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Chandapur S.O (Kalaburagi),585305,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Chimmanchod S.O,585306,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Chincholi S.O,585307,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Farhatabad S.O,585308,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Gogi S.O,585309,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Jewargi S.O,585310,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Kadaganchi S.O,585311,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Kalgi S.O,585312,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Kamalapur S.O (Kalaburagi),585313,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Khajuri S.O (Kalaburagi),585314,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Madhwar S.O,585315,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Mahagaon (Kalaburagi) S.O,585316,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Malkhed S.O,585317,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Mudhol (Kalaburagi) S.O,585318,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Naikal S.O,585319,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Nidgunda S.O,585320,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Ramasamudra S.O (Yadgir),585321,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Ratkal S.O,585322,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Sagar S.O,585323,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Sulahpeth S.O,585324,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Yedrami S.O,585325,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Wadgera S.O,585355,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
"Central University of Karnataka,Kad",585367,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Karwar H.O,581301,Delivery,HO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Karwar Baitkhol S.O,581302,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kodibag S.O,581303,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Nandangadda S.O,581304,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Habbuwada S.O,581306,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Binaga S.O,581307,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Karwar Naval Base S.O,581308,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Ankola S.O,581314,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Aversa S.O,581316,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Asnoti S.O,581317,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Bankikodla S.O,581319,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Bhatkal S.O,581320,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Belekeri S.O,581321,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Chandavar S.O,581323,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Chendiye S.O,581324,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Gokarn S.O,581326,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Haldipur S.O,581327,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Halge S.O,581328,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Hegde S.O,581330,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Herwatta S.O,581332,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Hiregutti S.O,581333,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Honavar S.O,581334,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Hosad S.O,581335,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kadtoka S.O,581338,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kadwad S.O,581339,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Karki S.O,581341,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kasarkod S.O,581342,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kumta H.O,581343,Delivery,HO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Madangeri S.O,581344,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Majali S.O,581345,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Manki S.O,581348,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Murdeshwar S.O,581350,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Gudeangadi S.O,581351,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Sadashivgad S.O,581352,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Shetgeri S.O,581353,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Shirali S.O,581354,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Vandige S.O,581357,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Angadi S.O (Uttara Kannada),581360,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Hadinbal S.O,581361,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kumta Kanara College Road S.O,581362,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Gersoppa Jyothinagar S.O,581384,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kadra S.O,581396,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kaiga S.O,581400,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Kaikini S.O,581421,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Melin Idgunji S.O,581423,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Mirjan S.O,581440,Delivery,PO,Karnataka Circle,North Karnataka Region,Karwar,21530016,21610002
Raichur H.O,584101,Delivery,HO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Raichur Mukram Gunj S.O,584102,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Raichur Jawahar Nagar S.O,584103,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Raichur UAS S.O,584104,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Deodurga S.O,584111,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Gabbur S.O,584113,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Hutti S.O,584115,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Jalahalli S.O,584116,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Kallur S.O (Raichur),584118,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Kowthal S.O,584120,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Lingasugur S.O,584122,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Manvi S.O,584123,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Maski S.O,584124,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Mudgal S.O,584125,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Mosarkal S.O,584126,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Rodalbanda S.O,584127,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Sindhanur S.O,584128,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Sirwar S.O,584129,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Turvihal S.O,584132,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Yergera S.O,584133,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Yeramarus S.O,584134,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Yeramarus Camp S.O,584135,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Kalmala S.O,584136,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Balaganur S.O,584138,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Gurgunta S.O,584139,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Gunjahalli S.O,584140,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Jawalgera S.O,584143,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Dhadesugur S.O,584167,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Shaktinagar S.O (Raichur),584170,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Matmari S.O,584202,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Kurdi S.O,584203,Delivery,PO,Karnataka Circle,North Karnataka Region,Raichur,21530018,21610002
Castlerock S.O,581121,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Jagalbet S.O,581129,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Joida S.O,581186,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Kumbarwada S.O,581187,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Aminalli S.O,581315,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Banavasi S.O,581318,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Bilgi S.O (Uttara Kannada),581322,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Dandeli S.O,581325,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Haliyal S.O,581329,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Heggarni S.O,581331,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Hulekal S.O,581336,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Idgundi S.O,581337,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Kansur S.O,581340,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Malgi S.O,581346,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Manchikeri S.O,581347,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Mundgod S.O,581349,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Siddapur S.O,581355,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Tergaon S.O,581356,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Yekkambi S.O,581358,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Yellapur S.O,581359,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Ambikanagar S.O,581363,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Ganeshgudi S.O,581365,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Sirsi H.O,581401,Delivery,HO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Sirsi Market S.O,581402,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Nilekani S.O,581403,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Tibetan Colony S.O,581411,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Kirwatti S.O,581412,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Neggu S.O,581450,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Ramnagar S.O (Uttara Kannada),581453,Delivery,PO,Karnataka Circle,North Karnataka Region,Sirsi,21530019,21610002
Vijayapura H.O,586101,Delivery,HO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Vijayapura Vijaya College S.O,586103,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Vijayapura Railway Station S.O,586104,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Vijayapura Amc S.O,586108,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Vijayapura Jalanagar S.O,586109,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Agarkhed S.O,586111,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Atharga S.O,586112,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Bableshwar S.O,586113,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Bijjargi S.O,586114,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Devar Hippargi S.O,586115,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Dhavalgi S.O,586116,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Horti S.O,586117,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Kalkeri S.O,586118,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Kannur S.O,586119,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Korwar S.O,586120,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Kudgi S.O,586121,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Mangoli S.O,586122,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Moratgi S.O,586123,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Nalatwad S.O,586124,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Sarwad S.O,586125,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Shivangi S.O,586127,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Sindgi S.O,586128,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Tangadgi S.O,586129,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Tikota S.O,586130,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Almatti  Damsite S.O,586201,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Almel S.O,586202,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Basavan Bagewadi S.O,586203,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Bardol S.O (Vijayapura(KAR)),586204,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Chadchan S.O,586205,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Devangaon S.O,586206,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Halsangi S.O,586207,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Huvin Hippargi S.O,586208,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Indi S.O,586209,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Kolhar S.O (Vijayapura(KAR)),586210,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Lachyan S.O,586211,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Muddebiahl S.O,586212,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Nidgundi S.O,586213,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Talikoti S.O,586214,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Tamba S.O,586215,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Telgi S.O,586216,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Salotgi S.O,586217,Delivery,PO,Karnataka Circle,North Karnataka Region,Vijayapura,21530020,21610002
Chikkamagaluru H.O,577101,Delivery,HO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Jyothinagar S.O (Chikkamagaluru),577102,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Aldur S.O,577111,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Balehonnur S.O,577112,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Banakal S.O,577113,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Basarikatte S.O,577114,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Birur S.O,577116,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
C.R.Station S.O,577117,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Hariharapura S.O,577120,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Hirebyle S.O,577121,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Javali S.O,577122,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Jayapura S.O,577123,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Kalasa S.O,577124,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Kammaradi S.O,577125,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Koppa H.O,577126,Delivery,HO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Kudregundi S.O,577127,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Lakkavalli S.O,577128,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Lingadahalli S.O,577129,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Mallandur S.O,577130,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Mallenahalli S.O,577131,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Mudigere S.O,577132,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Mugthihalli S.O,577133,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Narasimharajapura S.O,577134,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Sakrepatna S.O,577135,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Sangameshwarapete S.O,577136,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Santaveri S.O,577137,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Singatagere S.O,577138,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Sringeri S.O,577139,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Yagati S.O,577140,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Rangenahalli S.O,577144,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Bukkambudhi S.O,577145,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Kalasapura S.O,577146,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Magundi S.O,577160,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Uddeboranahalli S.O,577168,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Devanur S.O,577175,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Balehole S.O,577179,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Chowlahiriyur S.O,577180,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Horanadu S.O,577181,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Panchanahalli S.O,577182,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Tarikere S.O,577228,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Ajjampura S.O,577547,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Kadur S.O,577548,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Sivane S.O,577549,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Sollapura S.O,577550,Delivery,PO,Karnataka Circle,South Karnataka Region,Chikkamagaluru,215300022,21610003
Davangere H.O,577001,Delivery,HO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Jayadeva Circle Davanagere S.O,577002,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Rm Yard  Davanagere S.O,577003,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Southern Extension DVG S.O,577004,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Bapuji Vidyanagara S.O,577005,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Devaraj Urs Layout Dvg S.O,577006,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Davangere University Campus S.O,577007,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Chitradurga H.O,577501,Delivery,HO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Station Road chitradurga S.O,577502,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Adivala S.O,577511,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Anaji S.O,577512,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Asagodu S.O,577513,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Bada S.O,577514,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Bagur S.O (Chitradurga),577515,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Bhanuvally S.O,577516,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Turuvanur S.O,577517,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Bndurga S.O,577518,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Bharamasagara S.O,577519,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Bheemasamudra S.O,577520,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Bidarakere S.O,577521,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
Challakere S.O,577522,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Chickjajur S.O,577523,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Doddasiddavvanahalli S.O,577524,Delivery,PO,Karnataka Circle,South Karnataka Region,Chitradurga,21530023,21610003
Hadadi S.O,577525,Delivery,PO,Karnataka Circle,South Karnataka Region,Davanagere,21530024,21610003
