Office Name,Pincode,"Delivery/
Non Delivery","Office
Type",Circle,Region,Division,Division ID,Region ID
Attibele S.O,562107,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG SOUTH,21530003,21610001
Bevur S.O (Ramanagar),562108,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Bidadi S.O,562109,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Devanahalli S.O,562110,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Dobbespet S.O,562111,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Harohalli S.O,562112,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Hoskote S.O,562114,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Kanakapura S.O,562117,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Kodihalli S.O,562119,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Magadi S.O,562120,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Maralavadi S.O,562121,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Nandagudi S.O,562122,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,KOLAR,21530027,21610001
Nelamangala S.O,562123,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Sarjapura S.O,562125,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG SOUTH,21530003,21610001
Sathanur S.O,562126,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Solur S.O,562127,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Sugganahalli S.O,562128,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Sulebele S.O,562129,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Tavarekere S.O (Bengaluru),562130,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Thippasandra S.O,562131,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Tyamagondlu S.O,562132,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Vijayapura S.O,562135,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Honganur S.O,562138,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Bagalur S.O (Bengaluru),562149,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Bettahalsur S.O,562157,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Ramanagaram S.O,562159,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Channapatna H.O,562160,Delivery,HO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Government Silk Farm S.O,562161,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,Channapatna,21530005,21610001
Madanayakanahalli S.O,562162,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Nagadenahalli S.O,562163,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG WEST,21530004,21610001
Avathi S.O,562164,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Budigere S.O,562165,Delivery,PO,Karnataka Circle,Bengaluru HQ Region,BG EAST,21530001,21610001
Bagalkot H.O,587101,Delivery,HO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Gaddankeri Cross S.O,587102,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Bagalkot Navanagar S.O,587103,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Bagalkot UHS Campus S.O,587104,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Bagalkot Alokudyog S.O,587111,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Amingad S.O,587112,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Belagali S.O,587113,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Belur S.O (Bagalkot),587114,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Bevur S.O (Bagalkot),587115,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Bilgi S.O (Bagalkot),587116,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Galagali S.O,587117,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Hungund S.O,587118,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Hunnur S.O,587119,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Kamatgi S.O,587120,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Konnur S.O (Bagalkot),587121,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Lokapur S.O,587122,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Sulebhavi S.O,587124,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Ilkal S.O,587125,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Ilkal  Alampurpet S.O,587154,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Kulgeri Cross S.O,587155,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Shirur S.O,587156,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Badami S.O,587201,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Gudur S.O (Bagalkot),587202,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Guledgudd S.O,587203,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Kaladgi S.O,587204,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Katageri S.O,587205,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Kerur S.O,587206,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Rampur S.O (Bagalkot),587207,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Jamkhandi H.O,587301,Delivery,HO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Banahatti S.O,587311,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Mahalingpur S.O,587312,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Mudhol (Bagalkot) S.O,587313,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Rabkavi S.O,587314,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Terdal S.O,587315,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Sameerwadi S.O,587316,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Savalagi S.O,587330,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
HIPPARGI SO,587331,Delivery,PO,Karnataka Circle,North Karnataka Region,Bagalkot,21530006,21610002
Ballari H.O,583101,Delivery,HO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Ballari Cowl Bazar S.O,583102,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Ballari Gandhinagar S.O,583103,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Ballari Cantonment S.O,583104,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Ballari Jnanasagara S.O,583105,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Chellakurki S.O,583111,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Deogiri S.O,583112,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Emmiganur S.O,583113,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hatcholi S.O,583114,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Kudathini S.O,583115,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Kurugodu S.O,583116,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Moka S.O,583117,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
D T Ship S.O,583118,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Sandur S.O,583119,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Sirigere S.O(Ballari),583120,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Siruguppa S.O,583121,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Tekkalakota S.O,583122,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Toranagallu S.O,583123,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Yeshwantnagar S.O(Ballari),583124,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Arasikere S.O,583125,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Chikkajogihalli S.O,583126,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Chigatere S.O,583127,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Choranur S.O,583128,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Devalapura S.O(Ballari),583129,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Gudekota S.O,583130,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Harapanahalli S.O,583131,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Kampli S.O,583132,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Kottur S.O(Ballari),583134,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Kudligi S.O,583135,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Oojein S.O,583136,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Teligi S.O,583137,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Ballari Thermal Power Station S.O,583152,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Shankar Hill Town Colony S.O.,583153,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Karur SO,583154,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Kolur S.O,583155,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hosapete H.O,583201,Delivery,HO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hosapete N C C S.O,583203,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Chitwadgi S.O,583211,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hagaribommanahalli S.O,583212,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Halavagalu S.O,583213,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hampasagara S.O,583214,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hampi Power House S.O,583215,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hirehadagali S.O,583216,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Holalu S.O,583217,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hosahalli S.O,583218,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Huvinahadagali S.O,583219,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Ittigi S.O,583220,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Kamalapura S.O,583221,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Mariammanahalli S.O,583222,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Papinayakanahalli S.O,583223,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Thambrahalli S.O,583224,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
T B Dam S.O,583225,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Hampi S.O,583239,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Vidyanagar S.O(Ballari),583275,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
K U Campus S.O,583276,Delivery,PO,Karnataka Circle,North Karnataka Region,Ballari,21530007,21610002
Belagavi H.O,590001,Delivery,HO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Belagavi Shahapur S.O,590003,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Belagavi M. Vadgaon S.O,590005,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Tilakwadi S.O,590006,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Udyambag S.O,590008,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Belagavi Records MLI S.O,590009,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Belagavi Nehru Nagar S.O,590010,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Hindawadi S.O,590011,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Peeranwadi S.O,590014,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Kanabargi S.O,590015,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Belagavi Shivaji Nagar S.O,590016,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Belagavi MalMaruti Extension S.O,590017,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
VTU Campus Belagavi S.O,590018,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
